regime,m,method,success_mean,success_sd,set_size,full_set,singleton,reps
ambiguous,3,majority_cp,0.99836,0.001675974011996865,3.768445,0.0091,0.000415,200
ambiguous,3,naive_panel_cp,0.9891716666666666,0.005733712883311512,3.3410016666666666,0.0,0.004816666666666667,200
ambiguous,3,random_rater_cp,0.9991633333333333,0.0009392430752679943,3.8974,0.03456666666666666,9.666666666666667e-05,200
ambiguous,5,majority_cp,0.9950249999999999,0.004074534155873712,3.544621666666667,0.0013800000000000002,0.002086666666666667,200
ambiguous,5,naive_panel_cp,0.9768083333333334,0.009355646783885948,3.1277150000000002,0.0,0.01139,200
ambiguous,5,ptcp,0.9999716666666667,9.319384168121065e-05,4.894713333333334,0.8947133333333334,0.0,200
ambiguous,5,ptcp_randomized,0.9999683333333332,9.798357865585546e-05,4.8870249999999995,0.887025,0.0,200
ambiguous,5,random_rater_cp,0.9992116666666666,0.0007665373862305069,3.8836700000000004,0.025554999999999998,0.00013666666666666666,200
ambiguous,10,majority_cp,0.9882533333333333,0.007175337748389388,3.3306483333333334,0.0,0.005523333333333333,200
ambiguous,10,naive_panel_cp,0.9236233333333334,0.01896455037311118,2.709573333333333,0.0,0.04187166666666666,200
ambiguous,10,ptcp,0.9999733333333333,9.065799544699969e-05,4.875885,0.8758849999999999,0.0,200
ambiguous,10,ptcp_randomized,0.9999583333333334,0.0001492115889236636,4.843218333333334,0.8432183333333333,0.0,200
ambiguous,10,random_rater_cp,0.9991516666666667,0.0009277636518180907,3.9019716666666664,0.039481666666666665,0.0001333333333333333,200
mixed,3,majority_cp,0.9606916666666666,0.012415293674722019,2.9036899999999997,0.0,0.12166666666666666,200
mixed,3,naive_panel_cp,0.941955,0.012368196345817314,2.7310083333333335,0.0,0.15331333333333333,200
mixed,3,random_rater_cp,0.9712966666666667,0.010800086336689878,3.0186849999999996,0.0,0.09875666666666667,200
mixed,5,majority_cp,0.9499249999999999,0.012959647784055206,2.80488,0.0,0.13907999999999998,200
mixed,5,naive_panel_cp,0.9308083333333333,0.01301073033509631,2.6395216666666665,0.0,0.16772666666666666,200
mixed,5,ptcp,0.9999816666666667,7.618411973961924e-05,4.85887,0.85887,0.0,200
mixed,5,ptcp_randomized,0.9999816666666667,7.618411973961924e-05,4.85887,0.85887,0.0,200
mixed,5,random_rater_cp,0.9716066666666667,0.009597933892686246,3.0262033333333336,0.0,0.096945,200
mixed,10,majority_cp,0.9375616666666667,0.014082495143205368,2.694821666666667,0.0,0.15942166666666668,200
mixed,10,naive_panel_cp,0.9051433333333334,0.017452032369779918,2.4499566666666666,0.0,0.19663333333333333,200
mixed,10,ptcp,0.9999850000000001,6.92747787789532e-05,4.835791666666666,0.8357916666666667,0.0,200
mixed,10,ptcp_randomized,0.9980549999999999,0.002968055779273316,3.883085,0.14517333333333332,0.00966,200
mixed,10,random_rater_cp,0.972135,0.009707566540051966,3.0304,0.0,0.09649833333333334,200
